fold,model_file,calibrator_file,model_backend,threshold_policy_name,probability_calibration_method,selected_threshold,selected_threshold_map,threshold_selection_mode,calibration_exposure,feasible_threshold_count,train_size,calibration_size,test_size,train_start,train_end,calibration_start,calibration_end,test_start,test_end
1,fold_001.pkl,fold_001_calibrator.pkl,xgboost,trend_regime,none,0.47500000000000003,"{""bull_trend"": 0.55, ""other"": 0.4}",feasible_best,0.8653846153846154,81,504,100,252,1993-12-10T00:00:00+00:00,1995-12-07T00:00:00+00:00,1995-07-19T00:00:00+00:00,1995-12-07T00:00:00+00:00,1995-12-22T00:00:00+00:00,1996-12-19T00:00:00+00:00
2,fold_002.pkl,fold_002_calibrator.pkl,xgboost,trend_regime,none,0.525,"{""bull_trend"": 0.65, ""other"": 0.4}",feasible_best,0.2,81,504,100,252,1994-12-09T00:00:00+00:00,1996-12-05T00:00:00+00:00,1996-07-17T00:00:00+00:00,1996-12-05T00:00:00+00:00,1996-12-20T00:00:00+00:00,1997-12-18T00:00:00+00:00
3,fold_003.pkl,fold_003_calibrator.pkl,xgboost,trend_regime,none,0.525,"{""bull_trend"": 0.65, ""other"": 0.4}",feasible_best,0.9038461538461539,81,504,100,252,1995-12-08T00:00:00+00:00,1997-12-04T00:00:00+00:00,1997-07-16T00:00:00+00:00,1997-12-04T00:00:00+00:00,1997-12-19T00:00:00+00:00,1998-12-18T00:00:00+00:00
4,fold_004.pkl,fold_004_calibrator.pkl,xgboost,trend_regime,none,0.65,"{""bull_trend"": 0.55, ""other"": 0.75}",feasible_best,0.8761904761904762,81,504,100,252,1996-12-06T00:00:00+00:00,1998-12-04T00:00:00+00:00,1998-07-16T00:00:00+00:00,1998-12-04T00:00:00+00:00,1998-12-21T00:00:00+00:00,1999-12-20T00:00:00+00:00
5,fold_005.pkl,fold_005_calibrator.pkl,xgboost,trend_regime,none,0.75,"{""bull_trend"": 0.8, ""other"": 0.7}",feasible_best,0.7425742574257426,81,504,100,252,1997-12-05T00:00:00+00:00,1999-12-06T00:00:00+00:00,1999-07-16T00:00:00+00:00,1999-12-06T00:00:00+00:00,1999-12-21T00:00:00+00:00,2000-12-18T00:00:00+00:00
6,fold_006.pkl,fold_006_calibrator.pkl,xgboost,trend_regime,none,0.5,"{""bull_trend"": 0.4, ""other"": 0.6}",feasible_best,0.8543689320388349,81,504,100,252,1998-12-07T00:00:00+00:00,2000-12-04T00:00:00+00:00,2000-07-14T00:00:00+00:00,2000-12-04T00:00:00+00:00,2000-12-19T00:00:00+00:00,2001-12-24T00:00:00+00:00
7,fold_007.pkl,fold_007_calibrator.pkl,xgboost,trend_regime,none,0.525,"{""bull_trend"": 0.4, ""other"": 0.65}",feasible_best,0.5490196078431373,81,504,100,252,1999-12-07T00:00:00+00:00,2001-12-10T00:00:00+00:00,2001-07-16T00:00:00+00:00,2001-12-10T00:00:00+00:00,2001-12-26T00:00:00+00:00,2002-12-24T00:00:00+00:00
8,fold_008.pkl,fold_008_calibrator.pkl,xgboost,trend_regime,none,0.4,"{""bull_trend"": 0.4, ""other"": 0.4}",feasible_best,0.7981651376146789,81,504,100,252,2000-12-05T00:00:00+00:00,2002-12-10T00:00:00+00:00,2002-07-22T00:00:00+00:00,2002-12-10T00:00:00+00:00,2002-12-26T00:00:00+00:00,2003-12-24T00:00:00+00:00
9,fold_009.pkl,fold_009_calibrator.pkl,xgboost,trend_regime,none,0.55,"{""bull_trend"": 0.7, ""other"": 0.4}",feasible_best,0.17647058823529413,81,504,100,252,2001-12-11T00:00:00+00:00,2003-12-10T00:00:00+00:00,2003-07-22T00:00:00+00:00,2003-12-10T00:00:00+00:00,2003-12-26T00:00:00+00:00,2004-12-27T00:00:00+00:00
10,fold_010.pkl,fold_010_calibrator.pkl,xgboost,trend_regime,none,0.75,"{""bull_trend"": 0.7, ""other"": 0.8}",feasible_best,0.37254901960784315,81,504,100,252,2002-12-11T00:00:00+00:00,2004-12-10T00:00:00+00:00,2004-07-22T00:00:00+00:00,2004-12-10T00:00:00+00:00,2004-12-28T00:00:00+00:00,2005-12-23T00:00:00+00:00
11,fold_011.pkl,fold_011_calibrator.pkl,xgboost,trend_regime,none,0.55,"{""bull_trend"": 0.5, ""other"": 0.6}",feasible_best,0.6407766990291263,81,504,100,252,2003-12-11T00:00:00+00:00,2005-12-09T00:00:00+00:00,2005-07-21T00:00:00+00:00,2005-12-09T00:00:00+00:00,2005-12-27T00:00:00+00:00,2006-12-26T00:00:00+00:00
12,fold_012.pkl,fold_012_calibrator.pkl,xgboost,trend_regime,none,0.525,"{""bull_trend"": 0.4, ""other"": 0.65}",feasible_best,0.1792452830188679,81,504,100,252,2004-12-13T00:00:00+00:00,2006-12-11T00:00:00+00:00,2006-07-21T00:00:00+00:00,2006-12-11T00:00:00+00:00,2006-12-27T00:00:00+00:00,2007-12-27T00:00:00+00:00
13,fold_013.pkl,fold_013_calibrator.pkl,xgboost,trend_regime,none,0.65,"{""bull_trend"": 0.75, ""other"": 0.55}",feasible_best,0.3333333333333333,81,504,100,252,2005-12-12T00:00:00+00:00,2007-12-12T00:00:00+00:00,2007-07-24T00:00:00+00:00,2007-12-12T00:00:00+00:00,2007-12-28T00:00:00+00:00,2008-12-26T00:00:00+00:00
