fold,train_size,calibration_size,test_size,model_backend,threshold_policy_name,probability_calibration_method,selected_threshold,threshold_selection_mode,calibration_exposure,feasible_threshold_count,total_return,benchmark_total_return,cagr,sharpe,max_drawdown,profit_factor,win_rate,trade_count,exposure,turnover
1,504,100,252,xgboost,trend_regime,none,0.475,feasible_best,0.8653846153846154,81,-0.008023994022535064,0.20467836257309902,-0.007807978199537269,-0.010369716019520043,-0.09970828797306452,0.9976444534121977,0.5142857142857142,70.0,0.9652509652509652,140.0
2,504,100,252,xgboost,trend_regime,none,0.525,feasible_best,0.2,81,0.15951819590966498,0.2621722846441943,0.15951819590966498,1.3331444420739331,-0.05219665120208239,1.8845793366755268,0.6086956521739131,23.0,0.42857142857142855,46.0
3,504,100,252,xgboost,trend_regime,none,0.525,feasible_best,0.903846153846154,81,0.27819969327918415,0.2910936476751813,0.2757317054740658,1.7385551290536003,-0.12303734714667247,2.3356051198095455,0.7142857142857143,21.0,0.3425196850393701,42.0
4,504,100,252,xgboost,trend_regime,none,0.65,feasible_best,0.8761904761904762,81,0.06880127667962754,0.2165844796262637,0.06824145800160486,0.88452208159578,-0.07347546014516382,1.6411223176280463,0.6153846153846154,13.0,0.2283464566929134,26.0
5,504,100,252,xgboost,trend_regime,none,0.75,feasible_best,0.7425742574257426,81,0.034190126083122996,-0.12097476066144441,0.034052712055570256,0.3620489768164728,-0.06924827669408351,1.203338669245375,0.5333333333333333,15.0,0.17786561264822134,30.0
6,504,100,252,xgboost,trend_regime,none,0.5,feasible_best,0.8543689320388349,81,-0.14066525666512097,-0.08555877359314212,-0.13763032046549106,-0.6684677875007464,-0.3200658934286926,0.8531753239394332,0.44776119402985076,67.0,0.9534883720930233,134.0
7,504,100,252,xgboost,trend_regime,none,0.525,feasible_best,0.5490196078431373,81,0.13891831991427206,-0.19375544992185978,0.13547819282524642,0.8284646329845452,-0.13112258127373322,1.3885350101393088,0.5384615384615384,26.0,0.4186046511627907,52.0
8,504,100,252,xgboost,trend_regime,none,0.4,feasible_best,0.7981651376146789,81,-0.08386893593394973,0.2495504137377127,-0.08355169022097075,-0.7632068680839956,-0.19086905020816602,0.6447455566884089,0.4,15.0,0.2648221343873518,30.0
9,504,100,252,xgboost,trend_regime,none,0.55,feasible_best,0.1764705882352941,81,0.04227879755185837,0.07929158472227993,0.04143944289967649,0.5362089903122028,-0.05713996271082056,1.2552538659519559,0.5666666666666667,30.0,0.5953307392996109,60.0
10,504,100,252,xgboost,trend_regime,none,0.75,feasible_best,0.3725490196078431,81,-0.0014742326309914455,0.028328380023992406,-0.0014569013580476575,-0.0790549117048381,-0.011026369324537044,0.8759579968004744,0.5,2.0,0.03529411764705882,4.0
11,504,100,252,xgboost,trend_regime,none,0.55,feasible_best,0.6407766990291263,81,0.02892497309988018,0.11770316266744474,0.028354327428570025,0.44690532442705905,-0.06807840144327837,1.2417983637090144,0.625,24.0,0.36964980544747084,48.0
12,504,100,252,xgboost,trend_regime,none,0.525,feasible_best,0.1792452830188679,81,0.028442417344422655,-0.007724219333113513,0.02799184229878282,0.2696856837098945,-0.08710719605504169,1.0853679634176905,0.5614035087719298,57.0,0.9453125,114.0
13,504,100,252,xgboost,trend_regime,none,0.65,feasible_best,0.3333333333333333,81,-0.3662806251598585,-0.36879677347680284,-0.36174776434505584,-1.0442712895492143,-0.4247167616090566,0.6640288467948221,0.421875,64.0,0.98828125,128.0
14,504,100,252,xgboost,trend_regime,none,0.425,feasible_best,0.7962962962962963,81,0.16633137009903765,0.29848011061096114,0.16353074537569579,0.788862876245245,-0.2210207132239791,1.3124330865903884,0.5714285714285714,42.0,0.6171875,84.0
15,504,100,252,xgboost,trend_regime,none,0.4,feasible_best,0.074074074074074,81,-0.036995706107562865,0.1320502472738152,-0.03656852002058686,-0.16642034974587078,-0.24538456498995287,0.9502611661917534,0.5517241379310345,58.0,0.803921568627451,116.0
16,504,100,252,xgboost,trend_regime,none,0.6499999999999999,feasible_best,0.2568807339449541,81,0.08445152039962411,0.026470602148433997,0.08174962417785836,0.7064547577627951,-0.17958133160976497,1.2696042512942527,0.5227272727272727,44.0,0.5538461538461539,88.0
17,504,100,252,xgboost,trend_regime,none,0.575,feasible_best,0.4554455445544554,81,0.0278231733420351,0.13709682282984925,0.0278231733420351,1.7086503181751571,-0.005173331768691947,inf,1.0,2.0,0.04365079365079365,4.0
18,504,100,252,xgboost,trend_regime,none,0.525,feasible_best,0.284313725490196,81,0.019039406677966886,0.26552269738291345,0.018592539181448542,0.3284911458504469,-0.07783230892342363,1.1629078824679182,0.5833333333333334,24.0,0.38372093023255816,48.0
19,504,100,252,xgboost,trend_regime,none,0.45,feasible_best,0.6078431372549019,81,0.09792718649795007,0.09642355639270628,0.09711982381997286,1.0263239812746343,-0.07644865134273382,1.2960338283160513,0.5625,64.0,0.889763779527559,128.0
20,504,100,252,xgboost,trend_regime,none,0.6000000000000001,feasible_best,0.59,81,-0.02266543915126551,-0.025971511210086784,-0.022576871442121393,-0.189009407928867,-0.08500138831931514,0.9285667729775048,0.5,28.0,0.4743083003952569,56.0
21,504,100,252,xgboost,trend_regime,none,0.7250000000000001,feasible_best,0.7254901960784313,81,0.056108108402583845,0.13013115678118092,0.05565424116709483,0.6404498680170247,-0.08035560809149267,1.4052550744071852,0.6,20.0,0.39763779527559057,40.0
22,504,100,252,xgboost,trend_regime,none,0.5,feasible_best,0.146788990825688,81,0.06267225856072312,0.20187526346397822,0.06241696758502857,1.224312584532558,-0.03140771168184986,1.5439519574736225,0.6666666666666666,42.0,0.6284584980237155,84.0
23,504,100,252,xgboost,trend_regime,none,0.6000000000000001,feasible_best,0.3055555555555556,81,-0.0028119601461992216,-0.04086105957588404,-0.0027680841360345765,0.046693487843251516,-0.16175258845573814,1.0139425942764675,0.5081967213114754,61.0,0.8515625,122.0
24,504,100,252,xgboost,trend_regime,none,0.6,feasible_best,0.3663366336633663,81,0.04870559173934774,0.30219317593959216,0.04870559173934774,1.9992408414197014,0.0,inf,1.0,2.0,0.01984126984126984,4.0
25,504,100,252,xgboost,trend_regime,none,0.4,feasible_best,0.1619047619047619,81,0.12357419646632883,0.15070679204434567,0.12357419646632883,0.6348712886457293,-0.22055286560286436,1.3308973596021625,0.5882352941176471,34.0,0.5,68.0
