run_slug,profit_target_atr,stop_loss_atr,max_holding_bars,timeout_return_threshold,dataset_rows,fold_count,mean_total_return,mean_sharpe,mean_trade_count,mean_max_drawdown,label_flat_pct,label_long_pct,hit_profit_target_pct,hit_stop_loss_pct,hit_timeout_pct,model_dir,reports_dir
pt_1p25_sl_1p25_hold_10_to_0,1.25,1.25,10,0.0,8175,30,0.022925350553525434,0.33316979158646526,29.866666666666667,-0.11922292226753885,46.64,53.36,49.55,44.61,5.83,reports/label_sweep/latest/runs/pt_1p25_sl_1p25_hold_10_to_0/models,reports/label_sweep/latest/runs/pt_1p25_sl_1p25_hold_10_to_0/reports
pt_1p25_sl_1p25_hold_10_to_0p001,1.25,1.25,10,0.001,8175,30,0.021106696729154464,0.3093168116957202,30.1,-0.12120190622560809,46.85,53.15,49.55,44.61,5.83,reports/label_sweep/latest/runs/pt_1p25_sl_1p25_hold_10_to_0p001/models,reports/label_sweep/latest/runs/pt_1p25_sl_1p25_hold_10_to_0p001/reports
pt_1p25_sl_1_hold_5_to_0,1.25,1.0,5,0.0,8180,30,0.011878440910996086,0.2571285640374031,31.833333333333332,-0.0974121510972075,50.7,49.3,35.82,44.88,19.3,reports/label_sweep/latest/runs/pt_1p25_sl_1_hold_5_to_0/models,reports/label_sweep/latest/runs/pt_1p25_sl_1_hold_5_to_0/reports
pt_1_sl_1p25_hold_5_to_0p001,1.0,1.25,5,0.001,8180,30,0.002464021496547745,0.2556919775488256,37.56666666666667,-0.1110117421992375,43.92,56.08,47.11,35.13,17.75,reports/label_sweep/latest/runs/pt_1_sl_1p25_hold_5_to_0p001/models,reports/label_sweep/latest/runs/pt_1_sl_1p25_hold_5_to_0p001/reports
pt_1p25_sl_1p25_hold_5_to_0p001,1.25,1.25,5,0.001,8180,30,0.013291565756542004,0.2538567900815336,33.46666666666667,-0.11176982014103665,47.29,52.71,37.92,36.61,25.46,reports/label_sweep/latest/runs/pt_1p25_sl_1p25_hold_5_to_0p001/models,reports/label_sweep/latest/runs/pt_1p25_sl_1p25_hold_5_to_0p001/reports
pt_1p25_sl_1p25_hold_5_to_0,1.25,1.25,5,0.0,8180,30,0.01655628969039781,0.2473877509155083,35.8,-0.10931305827678009,46.04,53.96,37.92,36.61,25.46,reports/label_sweep/latest/runs/pt_1p25_sl_1p25_hold_5_to_0/models,reports/label_sweep/latest/runs/pt_1p25_sl_1p25_hold_5_to_0/reports
pt_1_sl_1p25_hold_10_to_0,1.0,1.25,10,0.0,8175,30,0.006153559122476663,0.2412785905946808,36.46666666666667,-0.12001232239981845,42.42,57.58,55.96,41.13,2.91,reports/label_sweep/latest/runs/pt_1_sl_1p25_hold_10_to_0/models,reports/label_sweep/latest/runs/pt_1_sl_1p25_hold_10_to_0/reports
pt_1_sl_1p25_hold_10_to_0p001,1.0,1.25,10,0.001,8175,30,0.00079340764113968,0.23919761969362788,36.03333333333333,-0.12080258044761198,42.56,57.44,55.96,41.13,2.91,reports/label_sweep/latest/runs/pt_1_sl_1p25_hold_10_to_0p001/models,reports/label_sweep/latest/runs/pt_1_sl_1p25_hold_10_to_0p001/reports
pt_1p25_sl_1_hold_5_to_0p001,1.25,1.0,5,0.001,8180,30,0.019550884536435772,0.23761344180293753,29.533333333333335,-0.09714251567783522,51.71,48.29,35.82,44.88,19.3,reports/label_sweep/latest/runs/pt_1p25_sl_1_hold_5_to_0p001/models,reports/label_sweep/latest/runs/pt_1p25_sl_1_hold_5_to_0p001/reports
pt_1_sl_1p25_hold_5_to_0,1.0,1.25,5,0.0,8180,30,-0.0025541790324979346,0.22368607426559517,39.63333333333333,-0.11238926920946299,42.89,57.11,47.11,35.13,17.75,reports/label_sweep/latest/runs/pt_1_sl_1p25_hold_5_to_0/models,reports/label_sweep/latest/runs/pt_1_sl_1p25_hold_5_to_0/reports
pt_1p25_sl_1_hold_10_to_0,1.25,1.0,10,0.0,8175,30,0.019284623331390773,0.20771189994484435,28.2,-0.09495443151631006,52.35,47.65,44.86,51.33,3.82,reports/label_sweep/latest/runs/pt_1p25_sl_1_hold_10_to_0/models,reports/label_sweep/latest/runs/pt_1p25_sl_1_hold_10_to_0/reports
pt_1p25_sl_1_hold_10_to_0p001,1.25,1.0,10,0.001,8175,30,0.01808360242608033,0.19612340370032805,27.066666666666666,-0.0959297723216653,52.48,47.52,44.86,51.33,3.82,reports/label_sweep/latest/runs/pt_1p25_sl_1_hold_10_to_0p001/models,reports/label_sweep/latest/runs/pt_1p25_sl_1_hold_10_to_0p001/reports
pt_1_sl_1_hold_5_to_0,1.0,1.0,5,0.0,8180,30,0.0034746875843787773,0.15303550429935564,37.13333333333333,-0.09723673118819187,47.54,52.46,44.22,42.95,12.84,reports/label_sweep/latest/runs/pt_1_sl_1_hold_5_to_0/models,reports/label_sweep/latest/runs/pt_1_sl_1_hold_5_to_0/reports
pt_1_sl_1_hold_10_to_0p001,1.0,1.0,10,0.001,8175,30,0.005862988153834832,0.12176905376379094,34.13333333333333,-0.0940317071027403,48.27,51.73,50.64,47.55,1.81,reports/label_sweep/latest/runs/pt_1_sl_1_hold_10_to_0p001/models,reports/label_sweep/latest/runs/pt_1_sl_1_hold_10_to_0p001/reports
pt_1_sl_1_hold_10_to_0,1.0,1.0,10,0.0,8175,30,0.005515303572080969,0.0934222409054756,34.06666666666667,-0.09630200825774553,48.2,51.8,50.64,47.55,1.81,reports/label_sweep/latest/runs/pt_1_sl_1_hold_10_to_0/models,reports/label_sweep/latest/runs/pt_1_sl_1_hold_10_to_0/reports
pt_1_sl_1_hold_5_to_0p001,1.0,1.0,5,0.001,8180,30,-0.002425120302252896,0.07816135382082814,35.03333333333333,-0.09714304539784782,48.37,51.63,44.22,42.95,12.84,reports/label_sweep/latest/runs/pt_1_sl_1_hold_5_to_0p001/models,reports/label_sweep/latest/runs/pt_1_sl_1_hold_5_to_0p001/reports
